第,h
手枪,n
资格,n
张晓东,nh
５７８,m
超,v
王义夫,nh
５７７,m
男子气,n
步枪,n
黑龙江省,ns
张英洲,nh
５８９,m
邱波,nh
亚运会,j
５８６,m
６８９,m
李根澈,nh
６８８,m
自由泳,n
预赛,n
杨文意,nh
仲裁,v
足球赛,n
提醒,v
全动会,j
新闻发布会,n
吸引,v
刘树华,nh
出战,v
谢昭,nh
获胜,v
王启新,nh
总成绩,n
３３０,m
严密,a
力,n
网上,nl
竟然,d
排坛,j
同年,nt
石茂,nh
林萱,nh
夫妇,n
探亲,v
戚务丽,nh
苗子,n
带到,v
体操队,n
广阔,a
天地,n
驰骋,v
逆势,v
逼平,v
跻身,v
次数,n
保留,v
北京天桥民俗园,ns
可行性,n
评估,v
选取,v
明年,nt
即可,vu
动工,v
昨晚,nt
马三立,nh
骆玉笙,nh
马少良,nh
杨乃彭,nh
戏院,n
即将,d
出征,v
京津塘高速公路,n
高足,n
弟子,n
中外,j
新加坡,ns
陈有炳,nh
书画,n
写意,n
巧妙,a
花鸟,n
荣获,v
奖章,n
清秘阁,ns
主办,v
剪纸,v
新疆民间文艺研究会,ni
纪录片,n
市文化局,ni
总工会,ni
团市委,j
推荐,v
中央新闻纪录电影制片厂,ni
善,a
捉,v
战机,n
四射,v
红,a
魔,n
吃掉,v
泪,n
洒,v
乌迪内,ns
逼和,v
米歇尔,nh
包揽,v
进球,v
门区,ns
左侧,nd
过人,v
空档,n
穿过,v
直落,v
网底,nl
闭幕式,n
民委,j
中华,ns
总会,n
内蒙古,ns
体委,j
芦苇,n
笔下,n
稀落,a
风中,nl
摇曳,v
竟,d
感觉到,v
神,n
怡,x
河床,n
哥麦斯,nh
中止,v
假期,nt
行列,n
爱新觉罗,nh
家族,n
书法展,n
中旬,nt
东京,ns
华国锋,nh
数千人,n
前线,nl
贵宾,n
老朋友,n
耿飚,nh
委员长,n
许德珩,nh
外交部长,n
黄华,nh
何英,nh
中国人民解放军,ni
副总,j
参谋长,n
张才千,nh
周化民,nh
经部,n
程飞,nh
肖鹏,nh
交通部,ni
周惠,nh
大使,n
张世杰,nh
捍卫,v
赢得,v
赞赏,v
钦佩,v
万岁,n
国旗,n
军乐团,n
奏,v
国歌,n
陪同,v
检阅,v
陆海空,j
三军,n
仪仗队,n
绚丽多彩,i
鼓乐声,n
跳起,v
优美,a
舞蹈,n
挥舞,v
花束,n
彩带,n
高呼,v
使者,n
诚挚,a
友情,n
卡欣,nh
夫人,n
大使馆,n
外交,n
使节,n
宴会,n
谴责,v
热爱,v
赤裸裸,a
宴会厅,n
并排,d
悬挂,v
洋溢,v
文化部长,n
黄镇,nh
赞扬,v
奉行,v
对内,d
根本,a
持久,a
全国人民代表大会,n
常务委员会,n
四月,nt
中共中央政治局,ni
鼓舞人心,i
纲,n
治国,v
见解,n
总的,n
迂回,v
包抄,v
唆使,v
反华,v
排华,v
竭力,v
挑拨,v
优异,a
签字,v
中国社会科学院,ni
南斯拉夫,ns
联邦,n
艺术院,n
米尔科·奥斯托依奇,nh
举杯,v
澳,j
互,d
设,v
领事馆,n
澳大利亚,ns
本着,p
协商,v
伍达德,nh
签署,v
换文,v
学部委员,n
周立三,nh
主持,v
依据,p
循环,v
四大,n
摆,v
老年人,n
有可能,v
２０４０,m
最高峰,n
老化,v
适龄,a
基数,n
庞大,a
剩余,v
劳动力,n
负荷,n
吃饭,v
乐观主义,i
悲观主义,n
持有,v
乐观,a
假设,v
１９８０,m
节省,v
独辟蹊径,i
上半叶,nt
水准,n
略有,v
约束,v
寄予,v
哪里,r
亚,a
耀华中学,ni
校,n
门口,nl
乘凉,v
互相,d
文学,n
子,n
教益,n
见识,n
前些天,nt
出差,v
西南,nd
旅途,n
身影,n
脑海,n
会见,v
总部,n
武警部队,n
赵东宛,nh
于永波,nh
刘安元,nh
产,v
运,v
调度,v
购进,v
上月,nt
６３,m
３４,m
９３,m
企,n
事业单位,n
３９５,m
水电,n
李七庄,ns
凌庄子,ns
纪庄子,ns
何兴庄,ns
大毕庄,ns
万新庄,ns
刘家房子,ns
外来,v
清理,v
遣送,v
了无,v
正当,a
合法,a
滞,v
盲流,n
５９００,m
混迹,v
流窜,v
５６,m
外逃,v
漂,v
刑事犯罪,v
有色金属,n
原材料,n
彩电,n
赃物,n
８０,m
研究室,n
沙健孙,nh
应邀,v
莅,v
我党,n
社会主义建设,n
丰富,a
宝贵,a
四项基本原则,n
造就,v
接班人,n
借鉴,v
稳步,d
新华社,ni
统计局,n
获悉,v
轻工业,n
重工业,n
八十三,m
超额,v
四十八,m
上年,nt
节能,v
技术改造,v
求得,v
折合,v
一千七百万,m
一千零五十万,m
中国人民银行,ni
分行,n
贷,v
币,n
发行,v
讲求,v
重复,v
停止,v
财产,n
职责,n
统筹,v
阔步前进,v
那些,r
羞涩,a
甜蜜,a
勤奋,a
之余,n
小宝宝,n
呱呱,o
落地,v
上级,n
拨款,v
集体福利,i
提取,v
一部分,n
二千四百,m
中心区,n
贴出,v
账目,n
详细,a
公布,v
机动车,n
手表,n
六十二,m
六十一,m
四十二,m
电风扇,n
二十四,m
录音机,n
嘉丰纺织厂,ni
推行,v
纺织,v
闯出,v
中共,j
上海市委纪律检查委员会,ni
筹备组,n
议价,n
予,r
严重者,n
给以,v
中国出版工作者协会,ni
陈原,nh
致,v
贺词,n
市委,j
洪泽,nh
出版家,n
赵家璧,nh
作家,n
陈伯吹,nh
１９７９,m
回来,vd
开明书店,n
襄理,n
朱达君,nh
平米,q
市里,nl
分配,v
在教,v
卫,v
大学,n
试点,v
做法,n
据了解,v
调剂,v
九百,m
困难户,n
零点,mq
科纳雷,nh
杨尚昆,nh
抵,v
星,n
捆绑式,n
火箭,n
奥普图斯通讯公司,ni
澳赛特Ｂ２,ni
通信卫星,n
送入,v
奥普图斯公司,ni
运营,v
博特曼,nh
航天,v
空间技术,n
美国休斯公司,ni
赞许,v
江泽民,nh
总书记,n
１９９３,m
元旦,nt
创刊,v
周报,n
团组织,n
十四大,j
紧密,a
真抓实干,i
中国共产主义青年团,ni
全国代表大会,n
决议,n
邢芬,nh
永久,a
载入,v
举,v
坛,n
史册,n
试,v
刷新,v
抓举,n
挺举,v
奥运会,j
王涛,nh
吕林,nh
据报,v
主教练,n
施拉普纳,nh
抛下,v
携,v
一同,d
飞回,v
欢,a
渡,v
圣诞节,nt
此种,r
史,n
罕见,a
试想,v
眼光,n
亲切,a
称为,v
宜于,v
扣上,v
这么,r
帽子,n
中国队,n
鱼尾,n
狮,n
闯进,v
离队,v
半决赛,n
莫斯科火车头队,ni
败给,v
韩国,ns
赛后,nt
补缺,v
徐根宝,nh
直言,v
输,v
大胆,a
杰出,a
著作,n
普遍,a
产物,n
建国,v
大纲,n
中国人民政治协商会议第六届全国委员会常务委员会,ni
如下,v
发展中国家,n
加拿大,ns
差异,n
制造业,n
低廉,a
转移,v
有利于,v
流入,v
精髓,n
无价之宝,i
衢州,ns
宫宝,ni
口服,v
营养液,n
定为,v
饮用,v
滋补品,n
复旦大学,ni
校长,n
数学家,n
数学,n
中国人民保险公司上海市分公司,ni
简易,a
人身保险,i
中国书法家协会上海分会,ni
美术,n
展览馆,n
隆重,a
观赏,v
斋,n
醮,x
宗教,n
承袭,v
祭祀,v
两千,m
土生土长,i
记录,v
民俗学,n
文化史,n
古籍,n
道地,a
渊源,n
追溯到,v
楚辞,n
歌,n
祭神,v
乐,n
中国人民解放军上海警备区,ni
司令员,n
巴忠倓,nh
锦江饭店,ni
设宴,v
招待,v
罗贝尔托·尤奇,nh
中将,n
郑晨,nh
田径,n
赛跑,v
国家科委,j
开会,v
扫描,v
电子显微镜,n
有机质谱计,n
精密,a
东方科学院仪器进出口公司,ni
中国科学院科学仪器厂,ni
中国式,n
通讯社,n
七五,j
赵紫阳,nh
表明,v
经济改革,v
增长率,n
路透社,ni
农村经济,n
一九七九,m
美联社,ni
评论,n
放松,v
每日新闻,ni
方向,n
设想,n
法国,ns
世界报,ni
确认,v
一九八三,m
索非亚,ns
前来,v
中国国家旅游局,ni
局长,n
韩克华,nh
全体会议,n
宣读,v
基本国策,n
入境,v
一千二百八十五万,m
三十五点六,m
旅游者,n
二百五十二万,m
旅游业,n
起步,v
有待,v
确信,v
发自,v
内心,n
洛德,nh
当天,nt
交给,v
措词,v
纪念会,n
章文晋,nh
中文,n
稿,n
英文,n
湖,n
羊羔,n
驰名,v
裘皮,n
软,a
美称,n
当年,nt
重庆,ns
费正清,nh
自传,n
性格,n
为人,n
青春,n
坚贞,a
忠诚,a
战时,nt
了如指掌,i
幽默感,n
一九四三,m
枯燥,a
乏味,a
沮丧,a
呼吸,v
清秀,a
新鲜,a
文中,nl
写道,v
深,a
不愿,vu
沉痛,a
悲伤,a
中国迅达电梯有限公司上海电梯厂,ni
推出,v
客,n
梯,n
观光,v
电梯,n
自动扶梯,n
人行道,n
电脑,n
高级,a
金星,ni
单是,vl
中国电子进出口总公司上海分公司,ni
整套,n
图书,n
有声,v
读物,n
英文版,n
红楼梦,n
西游记,n
水浒,n
苏州掌故,n
太极拳,n
历代,nt
热门货,n
友协,j
会长,n
上海公报,n
诞生,v
递交,v
尼克松,nh
美方,j
毛泽东,nh
建党,v
中国预防医学科学院,ni
北京市,ns
灭,v
鼠,n
达标,v
国家爱委会,ni
鼠害,n
开创,v
四化建设,i
肩负,v
使命,n
千万,m
主人,n
聪明才智,i
走过,v
年头,nt
民主革命,n
二十八,m
推翻,v
三座大山,n
先锋队,n
主力军,n
包围,v
前途,n
趋势,n
前头,nd
延安,ns
讲过,v
气力,n
小资产阶级,n
庆祝,v
中国地质学会,ni
北京中国画研究会,ni
保定,ns
群艺馆,ns
科协,j
今日,nt
画中,nl
李苦禅,nh
陶一清,nh
许麟庐,nh
娄师白,nh
白雪石,nh
周思聪,nh
张广,nh
史国良,nh
青,j
九十四,m
永远,d
忘记,v
准则,n
不止,v
挺身而出,v
信任,v
透露,v
工农业,j
翻两番,v
安定团结,i
年轻化,v
知识化,v
专业化,v
会后,nt
十年,nt
纲领,n
中国民航局,ni
沈图,nh
机组,n
三十三,m
乘,v
专机,n
劫持,v
客机,n
旅客,n
劫机,v
暴徒,n
二九六,m
班机,n
机长,n
王代轩,nh
慰问电,n
理事会,n
阿萨德·科泰特,nh
秘书长,n
朗贝尔,nh
致电,v
非法,a
一事,n
关切,v
不遗余力,i
放还,v
航空器,n
一九七○,m
海牙,ns
公约,n
惩处,v
共同社,ni
乘客,n
地点,n
附近,n
春川市,ns
送往,v
春季,nt
交易会,n
闭幕,v
男单,j
女单,j
男双,j
女双,j
混双,j
种子选手,n
韩健,nh
栾劲,nh
陈昌杰,nh
○,m
种子,n
张爱玲,nh
李玲蔚,nh
韩爱平,nh
蒋国良,nh
何尚全,nh
孙志安,nh
姚喜明,nh
林瑛,nh
吴迪西,nh
吴健秋,nh
徐蓉,nh
混合双打,n
田秉义,nh
单打,n
丘钟惠,nh
林慧卿,nh
胡玉兰,nh
葛新爱,nh
松崎君代,nh
山中教子,nh
田坂清子,nh
伊藤和子,nh
邀请赛,n
照片,n
情谊,n
绍勒尔,nh
直握,v
球拍,n
爱国华侨,n
蔡世金,nh
宴请,v
乒乓球,n
刘文玉,nh
款待,v
乒乓,n
宋之光,nh
保加利亚,ns
派出,v
六千,m
工程师,n
国家畜牧总局,ni
列为,v
基金会,n
旗,n
围场县,ns
投,v
省政府,n
书,n
四百一十万,m
十一点七一,m
医药,n
第一个五年计划,n
华北制药厂,ni
制药,v
著称,v
河北大学,ni
执教,v
历史学家,n
漆侠,nh
人大代表,j
张亚丽,nh
中国石化总公司沧州炼油厂,ni
田光,nh
艺术品,n
服务部,n
废品,n
赶紧,d
瓷器,n
拉走,v
兴起,v
崭新,a
英雄主义,n
不要紧,a
雷锋,nh
树新风,v
少年,n
中国评剧院二团,ni
送戏,v
沧州城乡,ns
沧州市,ns
昨日,nt
东光县张彦恒公社,ns
巡回演出,v
中国出口商品基地建设公司,ni
完县冷冻厂,ni
完县联营冷冻厂,ni
横向,a
三月,nt
六十五万,m
做为,v
入股,v
高锰钢,n
材料,n
颚,n
破碎,v
齿,n
中国耐磨材料研究中心,ni
常熟,ns
河北省,ns
研讨会,n
农牧渔业部畜牧局,ni
北京农业大学,ni
省内,nl
饲草,v
人工,n
大市场,n
论证,v
大有可为,i
总政治部,ni
余秋里,nh
军区,n
两用人才,i
军民共建,v
评价,n
全会,j
五十一,m
仕女,n
承,v
古,a
纳新,v
呆板,a
弱不禁风,i
病态,n
常规,n
清新,a
秀丽,a
洒脱,a
呼之欲出,i
可爱,a
主人公,n
形象,n
三十五万,m
课程,n
选修课,n
课外,nt
东光县农行,ni
中国农业银行总行,ni
授予,v
职工教育,n
撰写,v
法医,n
论文,n
窒息,v
１９８８,m
健康,a
性教育,v
汉族,ns
男性,n
身高,n
填补,v
空白,n
公发部,j
一等奖,n
大潮,n
风起云涌,i
安新县,ns
运动鞋,n
番,q
张小臭,nh
出山,v
中国环宇电子集团公司,ni
清华大学,ni
屏幕,n
彩色电视,n
图像,n
俗称,v
省级,n
科林巴,nh
通报,v
中非,ns
客人,n
女排,j
低谷,n
古巴队,n
瑞士,ns
桂冠,n
３：２,m
沃州,ns
３：０,m
第一次,mq
主力,n
断言,v
强于,v
卫冕,v
退役,v
交替,v
中古,nt
自暴自弃,i
预测,v
夺冠,v
刮目相看,i
此间,n
减弱,v
老区,n
地理,n
腐败,v
阜平,ns
过慢,a
拮据,a
温饱,n
河北师范大学物理系磁学实验室,ni
中国科学院物理研究所,ni
磁,n
畴,n
分类法,n
垂直,a
布洛赫,nh
解体,v
临界温度,n
河北师范大学,ni
物理系,n
聂向富,nh
副研究员,n
韩宝善,nh
１９８３,m
机床,n
自动控制,v
存储器,n
应用,v
考察,v
孙起孟,nh
国家监察部,ni
冯梯云,nh
葛志成,nh
国家教委,j
农业部,ni
中国农业银行,ni
中华职教社,ni
霸州市,ns
任丘市,ns
定州市,ns
南宫市,ns
获鹿县,ns
职业,n
课堂,n
示范,v
人才,n
师资,n
校舍,n
６９,m
交易,n
成交额,n
２.１９亿,m
交会,j
８.７,m
原省,n
农业银行干部学校基建科,ni
王子成,nh
中国农业银行河北省分行干部学校,ni
基建,j
收受,v
贿赂,v
款,n
３５００,m
开除,v
撤销,v
降,v
护士,n
中国民政康复医学会,ni
民政,n
厅,n
护理,v
知识竞赛,v
周学熙实业集团,ni
中国近代化国际学术讨论会,ni
秦,ns
企业界,n
周学熙,nh
清末,nt
社会活动家,n
实业家,n
讨论会,n
实业,n
近代,nt
地位,n
探讨,v
公然,d
叫嚷,v
援助,v
自视,v
心地,n
坦率,a
憎恶,v
面具,n
藐视,v
动摇,v
怀疑,v
鄙视,v
嘲弄,v
责任感,n
时刻,nt
自已,v
北京市西城区,ns
区长,n
李炳华,nh
座,q
矗立,v
心中,nl
丰碑,n
唯物主义者,n
共产党人,n
坚强,a
全心全意,i
崇高,a
教材,n
回答,n
怎么,r
对照,v
门外,nl
高悬,v
相称,a
盈利,n
首位,n
二十七,m
舆论界,n
大鱼,n
拖上,v
岸,n
容易,a
至于,v
平息,v
下来,vd
领导者,n
理好,v
财,n
傅振河,nh
怎么样,r
长期以来,i
轻,v
流通,v
束缚,v
搞生产,v
不问,v
供不应求,i
缺口,n
也就是,d
提,v
两鬓,n
斑白,a
老领导,n
眼里,nl
噙满,v
泪花,n
一句话,n
苦,v
啦,u
别的,r
永恒,a
例如,v
周末,nt
驶向,v
海滩,n
车辆,n
十字路口,n
指向,v
信号灯,n
放行,v
延长,v
难道,d
报废,v
上海市饮食服务机修厂,ni
出门,v
不认帐,i
拒,v
千里之外,i
感想,n
比如,c
柜台,n
陈列,v
积木,n
狮虎,n
猴,n
鹿,n
图案,n
居多,v
翻出,v
金字塔,n
富士山,ns
埃菲尔铁塔,ns
更有,v
知识性,n
趣味性,n
冬泳,v
每次,r
事先,nt
关节,n
酸痛,a
请问,v
义务劳动,n
入,v
更新,v
一套,mq
小生产,n
刮,v
平调,v
泛指,v
抹煞,v
按劳分配,i
共产风,n
问,v
何以,r
清楚,a
社会名流,n
尽可能,d
耄耋,n
名家,n
作序,v
照像,v
抬高,v
身价,n
筑,v
拜将,v
硬要,v
名誉,n
艺术指导,v
号召力,n
看待,v
文艺,n
仅仅,d
剖析,v
结论,n
不失,v
偏颇,a
稍加,v
终结,v
坟墓,n
看成,v
桎梏,n
恋爱,v
究,v
根源,n
皆,d
源,v
法国梧桐,n
引种,v
南京,ns
考查,v
说不上,v
暂停,v
苗圃,n
园艺,n
师傅,n
聊天,v
插,v
枝,n
感兴趣,v
江南,nl
漆黑,a
迸射,v
生气勃勃,i
秀美,a
脸孔,n
妩媚,a
早就,d
说穿,v
而已,u
抽回,v
出神,v
呆呆,a
望,v
心里,nl
颇为,d
纳闷,v
怪不得,v
钟情,v
哪些,r
看透,v
怎么回事,n
普通,a
劳动模范,n
爱护,v
尊敬,v
优越性,n
吴桥,ns
无极,ns
东光,ns
了解,v
存有,v
盲目性,n
制,v
坎坷不平,i
跌,v
跤,n
懂得,v
赵玉恒,nh
高超,a
技艺,n
带有,v
纸条,n
错话,n
洪流,n
松绑,v
放权,v
呼声,n
致富,v
税收,n
让路,v
减免,v
税务,n
众矢之的,i
石家庄,ns
专业户,n
米秋喜,nh
有意义,v
什么样,r
商品生产,v
老实,a
直正,a
遵纪守法,i
照章,d
纳税,v
投机,a
钻营,v
发文,v
直截了当,i
穿靴,v
戴帽,v
面议,v
长会,n
兴师动众,i
细细,a
想来,v
补正,v
揭,v
锅,n
心怀不满,i
跑去,v
质问,v
问罪,v
却说,v
摔,v
坯,n
心疼,v
摔出,v
志气,n
责任心,n
厂长负责制,n
实质,n
联产,v
责任制,n
围住,v
打算,v
不用,v
嘴,n
家家户户,n
学好,v
转法,n
不切实际,i
想法,n
拼,v
磕头,v
下跪,v
好话,n
声张,v
大娘,n
听完,v
握住,v
庞,nhf
周到,a
托人,v
取款,v
介绍信,n
凭信,v
付款,v
别,d
不合,v
买,v
豆腐,n
销路,n
紧急,a
李子富,nh
耳畔,nl
响起,v
指导员,n
冷静,a
强忍,v
怒火,n
拦住,v
大哥,n
劝阻,v
哀求,v
爸妈,n
活活,d
气死,v
查,v
干什么,v
轻生,v
单挑,v
扫清,v
雪,n
朋友们,n
纷,a
沓,a
兴隆,a
舒适,a
氛围,n
干净,a
眼前,nl
积,v
大片,n
乃至,c
洁净,a
幽雅,a
深有感触,v
职业教育,n
割裂,v
两者,n
地委,j
吴野渡,nh
走进,v
会议室,n
入座,v
只见,v
走上,v
讲台,n
不想,v
问答,n
题,n
在座,v
诸位,r
答,v
题目,n
考核,v
三来一补,j
三资企业,n
可曾,d
见过,v
盐池,n
么,k
可知,v
盐,n
怎样,r
劳作,v
抠,v
盐场,n
运费,n
１０万,m
场长,n
县稽征站,ni
站长,n
董俊生,nh
截住,v
反问,v
飞来,v
星星,n
找对象,v
自个儿,r
不怎么样,a
十全十美,i
大理,ns
白,a
安分守己,i
服服贴贴,i
兴许,d
县城,n
些,q
生分,a
用力,v
篮子,n
稀稀落落,a
元氏县,ns
缺,v
补,v
自办,v
学习班,n
二百四十,m
责任田,n
五谷杂粮,n
入党,v
忠于,v
身为,vl
盖房,v
享受,v
廷高,nhs
媳妇,n
秘书,n
拆开,v
里面,nd
看信,v
笑话,n
秦皇岛市委,ni
外贸局,n
供销社,n
物资局,n
华兴有限总公司,ni
合力有限股份公司,ni
服务站,n
大都,d
贵重,a
马克思列宁主义,n
马列主义,n
阻挡,v
外向型经济,n
产成品,n
紧,a
势必,d
首要,a
揭示,v
本质,n
剥削,v
两极分化,i
富裕,a
基本路线,n
二十一,m
障碍,n
人类,n
迎来,v
繁荣,a
好事,n
治,v
取决于,v
如此,r
晚年,nt
物理学家,n
爱因斯坦,nh
机器,n
哪怕,c
一概而论,i
林木,n
砍伐,v
是否,v
补救,v
集体所有制,n
合适,a
摸索,v
含义,n
场合,n
这点,r
争论,v
对立,v
瓦解,v
同一,a
同一性,n
哲学,n
范畴,n
抽象,a
剥离,v
不然,d
混沌,a
明晰,a
思考,v
局部性,n
危及,v
之内,nd
葡萄糖,n
含量,n
火焰,n
苯,n
分子结构,i
逻辑,n
毫不相干,i
客体,n
联结,v
常人,n
臆想,v
质,n
层次,n
建阳县,ns
林农,n
卖,v
立方米,q
松,n
杂木,n
支付,v
产品税,n
特产税,n
十九点二,m
育林,v
检,v
费,n
火车站,n
中转,v
堆放,v
签,v
征,v
手续费,n
四点八,m
木材,n
运到,v
车站,n
招待费,n
车皮,n
五百,m
折算,v
安心,a
专,d
脏,a
历年来,nt
票,n
条条,n
凝结,v
造船,v
血汗,n
咱,r
船厂,n
作文,n
得了,v
奖金,n
送给,v
医疗,v
残疾人,n
深圳,ns
那里,r
看不惯,v
桦林,ni
接连,d
失灵,v
苦头,n
意识到,v
体制,n
可靠,a
被动,a
处境,n
王见智,nh
另有,v
转变,v
凡事,nl
思维定势,n
从实际出发,i
作贡献,v
碰到,v
南墙,n
回头,v
挡道,v
使劲,v
桩,n
复杂,a
商标,n
侵权,v
案,n
了结,v
自筹,v
建行,j
存,v
说情,v
根本上,nl
堵住,v
中国少年儿童出版社,ni
辛勤,a
平时,nt
脸部,n
表情,n
木讷,a
中年,nt
汉子,n
忍不住,v
热泪,n
不无,v
沥,v
涝,a
土方,n
西马垓,ns
回族,ns
村里,nl
订,v
一头,n
村委,j
支部,n
班子,n
同等,a
优先,v
用车,v
汉,ns
吵嘴,v
打仗,v
暴乱,n
进去,v
极少数,n
腐败现象,n
痛下,v
清除,v
出乱子,i
自主,v
支配,v
财力,n
经济界,n
近些年,nt
创,v
利税,n
机动,a
微乎其微,i
一举一动,i
主管,n
谈不上,v
做贡献,v
香港中华厂商联合会,ni
司徒辉,nh
再一次,d
申明,v
看法,n
乱阵脚,v
内地,nl
训练,v
从严,v
从难,v
官,n
兵,n
练兵,v
钻研,v
会战,v
采油,v
标兵,n
薛国邦,nh
激动,v
鼓吹,v
白卷,n
领袖,n
导师,n
又红又专,i
滔天,a
催,v
垮,v
指引,v
多么,d
劲头,n
过得硬,v
学到手,v
只争朝夕,i
磨磨蹭蹭,i
地学,n
搞上去,v
省属,v
机关干部,n
能为,v
炉膛,n
风压,n
渗漏,v
受苦,v
人家,r
富,a
桃李,n
无言,v
蹊,n
振奋,v
解答,v
成堆,n
卖出,v
鸡,n
生病,v
拖拉机,n
招生,v
人材,n
习仲勋,nh
落实政策,i
典型,a
情操,n
修养,n
挫折,n
答复,v
计划生育,i
爱好,n
延缓,v
兴办,v
旅馆,n
势头,n
有增无减,i
恰恰,d
得法,a
围墙,n
发人深思,i
教育家,n
系,n
课,n
招,v
嚷嚷,v
自主权,n
省里,nl
大学生,n
读书,v
无用,a
异口同声,i
学得,v
同学,n
食堂,n
拾到,v
饭票,n
１０５,m
随手,d
丢面子,v
吃完,v
饭,n
碗里,nl
油腻,a
买上,v
权作,v
洗涤剂,n
华东工学院,ni
何可人,nh
课桌,n
厕所,n
简直,d
不堪入目,i
阻力,n
急于求成,i
转为,v
非难,v
辣,a
酸甜,a
张志明,nh
和颜悦色,i
孙子,n
初级,a
生活方式,n
降下,v
澄清,v
模糊,a
主人翁,n
格拉,nh
感谢,v
总是,d
特殊,a
花钱,v
明知故犯,i
新版,n
人民币,n
券种,n
陈毅,nh
外办,j
厉声,n
否定一切,i
置于,v
何地,r
打倒,v
老干部,n
解释,v
军阀,n
土匪,n
解放战争,nt
下场,n
一九六七,m
二月,nt
激昂,a
伤心,v
陈伯达,nh
张春桥,nh
姚文元,nh
窃国,v
大盗,n
败类,n
拍案而起,i
喷涌,v
整,v
说过,v
无非,d
罢了,u
谣言,n
坦然,a
好人,n
坏话,n
不坏,a
坏人,n
易折,v
皎皎,a
易,a
阳春白雪,i
盖,v
寡,a
盛名,n
之下,nd
早在,v
一九六四,m
会演,v
扬言,v
意识形态,n
找人,v
海瑞,nh
罢官,v
阴险,a
吴晗,nh
一九六一,m
境况,n
无端,d
冤狱,n
无产阶级专政,n
类比,v
存心,v
疏,a
宣扬,v
刚直不阿,i
大毒草,n
胡说,v
骂,v
罢,v
猖狂,a
黔东南,nl
林区,n
偏偏,d
产区,n
只好,d
自生自灭,i
一下子,d
磨,v
菜刀,n
茂林小区,ns
陆宇澄,nh
这儿,r
空军,n
官兵,n
天气,n
战士,n
穿着,v
单衣,n
不停,v
刘新惠,nh
耐心,a
热,n
超前意识,n
军务,n
识途,v
老马,n
回首,v
悟出,v
未婚妻,n
灯,n
请假,v
连队,n
哥哥,n
似地,u
叮嘱,v
李成旭,nh
前面,nd
等待,v
股长,n
啥,r
绝大多数,n
个别,a
沙丘,n
默默无语,i
毕业,v
分手,v
话语,n
耳边,nl
─,x
固执,a
到时,v
后悔,v
风趣,a
美丽,a
多情,a
翘首,v
盼,v
着急,v
知心,a
好象,d
朝阳区高家园小学,ni
中队,n
少先队员,n
患,v
下肢,n
肌肉,n
萎缩,v
黄大伟,nh
跑,v
名人,n
文体,n
之所以,c
有名,a
滴,v
香浓,a
力神,ni
咖啡,n
譬如,v
歌唱,v
金口,n
绕梁,v
听众,n
如醉如痴,i
上街,v
下厨,v
烧饭,v
夜里,nt
爬格子,v
普通人,n
没什么,i
两样,a
等而下之,i
巴塞罗那,ns
方苞,nh
您,r
热心,a
社会实践,n
感慨,v
省委,j
力气,n
迎刃而解,i
向前,v
热气腾腾,i
红烧,v
地龙,n
端上,v
宴席,n
协茂股份有限公司,ni
董事长,n
黄福华,nh
宾馆,n
服务员,n
穿山甲,n
当即,d
严辞,n
杀,v
总公司,n
呆,v
遇上,v
偶尔,d
突击,v
仓库,n
受得了,v
必定,d
阿波罗,nh
飞船,n
零件,n
５６００万,m
合格率,n
９９.９,m
５６００,m
元器件,n
故障,n
后果,n
不堪设想,i
道理,n
横亘,v
犹豫,v
徘徊,v
朝,p
听到,v
下面,nd
挥霍,v
取消,v
补助,n
严峻,a
屈服,v
拉拉曼,ns
陆缘冰,n
阻拦,v
探险,v
废话,n
交人,v
赔钱,v
无话可说,i
难堪,a
病情,n
再也,d
巴克利,nz
参议员,n
无一例外,i
邮票,n
时下,nt
各行各业,i
竞相,d
笔者,n
不时,d
精灵,n
其一,r
不上不下,i
乎,u
同出一辙,i
亲戚,n
回国,v
叶勇革,nh
劝,v
水手,n
苦境,n
打定,v
主意,n
猜,v
那须,nh
药,n
手绢,n
拾,v
有用,a
皆有,v
各有千秋,i
哪个,r
曲折,n
想念,v
刘,nhf
总参谋长,n
巴不得,v
倾诉,v
注重,v
整齐,a
占便宜,v
平静,a
毕竟,d
未遇,v
强敌,n
沙特,ns
全力,n
绿茵,n
生涯,n
回味,v
红色高棉,ni
穿上,v
裙子,n
躺,v
甲板,n
晒太阳,v
气,n
舒服,a
王颖,nh
百慕大,ns
风暴,n
掉以轻心,i
难以置信,i
拼命,v
傻,a
过来,vd
谢谢,v
包含,v
反驳,v
散,v
茶点,n
社,n
茶,n
每月,nt
几万,m
泥,n
饭碗,n
铁饭碗,n
勇气,n
反败为胜,i
指点,v
打下,v
格外,d
关怀,v
成器,v
重现,v
原有,v
北京市宣武区,ns
筹集,v
失散,v
战友,n
误,v
以为,v
表弟,n
秘密,n
２０００,m
流传,v
尤为,d
盛行,v
错,a
判,v
死刑,n
观音阁,ns
变形,v
单层,n
幽默,a
活泼,a
故宫,n
天坛,ns
地坛,ns
日坛,ns
月坛,ns
玻璃,n
背影,n
西洋,ns
尽量,d
分隔,v
入场,v
东面,nd
西面,nd
警员,n
沿途,n
押送,v
开路,v
警车,n
断后,v
周全,a
无害,v
助威,v
打气,v
没收,v
酒精,n
饮料,n
旗杆,n
禁止,v
携带,v
瑞典,ns
街头,n
大吹大擂,i
